feature_name,feature_type,modality,axis,domain,descriptor_family,magnetic_analysis_group,statistic,frequency_band,unit,source_feature,used_for_causal_centering,is_causal_derived,included_in_raw_representation,included_in_causal_representation,description
gyry_p95__causal_exp_1min,causal_derived,gyroscope,y,time,level_or_amplitude,not_applicable,95th percentile,,not_encoded_in_source_manifest,gyry_p95,False,True,False,True,"95th percentile of the angular-rate Y axis, after past-only within-day median centering."
gyrz_mean__causal_exp_1min,causal_derived,gyroscope,z,time,level_or_amplitude,not_applicable,mean,,not_encoded_in_source_manifest,gyrz_mean,False,True,False,True,"mean of the angular-rate Z axis, after past-only within-day median centering."
gyrz_median__causal_exp_1min,causal_derived,gyroscope,z,time,level_or_amplitude,not_applicable,median,,not_encoded_in_source_manifest,gyrz_median,False,True,False,True,"median of the angular-rate Z axis, after past-only within-day median centering."
gyrz_p95__causal_exp_1min,causal_derived,gyroscope,z,time,level_or_amplitude,not_applicable,95th percentile,,not_encoded_in_source_manifest,gyrz_p95,False,True,False,True,"95th percentile of the angular-rate Z axis, after past-only within-day median centering."
magx_raw_p95__causal_exp_1min,causal_derived,magnetometer,x,time,level_or_amplitude,not_applicable,95th percentile,,not_encoded_in_source_manifest,magx_raw_p95,False,True,False,True,"95th percentile of the magnetic-field X axis, after past-only within-day median centering."
magx_raw_abs_mean__causal_exp_1min,causal_derived,magnetometer,x,time,level_or_amplitude,not_applicable,mean absolute value,,not_encoded_in_source_manifest,magx_raw_abs_mean,False,True,False,True,"mean absolute value of the magnetic-field X axis, after past-only within-day median centering."
magx_raw_abs_p95__causal_exp_1min,causal_derived,magnetometer,x,time,level_or_amplitude,not_applicable,95th percentile of absolute value,,not_encoded_in_source_manifest,magx_raw_abs_p95,False,True,False,True,"95th percentile of absolute value of the magnetic-field X axis, after past-only within-day median centering."
magy_raw_p95__causal_exp_1min,causal_derived,magnetometer,y,time,level_or_amplitude,not_applicable,95th percentile,,not_encoded_in_source_manifest,magy_raw_p95,False,True,False,True,"95th percentile of the magnetic-field Y axis, after past-only within-day median centering."
magy_raw_abs_mean__causal_exp_1min,causal_derived,magnetometer,y,time,level_or_amplitude,not_applicable,mean absolute value,,not_encoded_in_source_manifest,magy_raw_abs_mean,False,True,False,True,"mean absolute value of the magnetic-field Y axis, after past-only within-day median centering."
magy_raw_abs_p95__causal_exp_1min,causal_derived,magnetometer,y,time,level_or_amplitude,not_applicable,95th percentile of absolute value,,not_encoded_in_source_manifest,magy_raw_abs_p95,False,True,False,True,"95th percentile of absolute value of the magnetic-field Y axis, after past-only within-day median centering."
magz_raw_p95__causal_exp_1min,causal_derived,magnetometer,z,time,level_or_amplitude,not_applicable,95th percentile,,not_encoded_in_source_manifest,magz_raw_p95,False,True,False,True,"95th percentile of the magnetic-field Z axis, after past-only within-day median centering."
magz_raw_abs_mean__causal_exp_1min,causal_derived,magnetometer,z,time,level_or_amplitude,not_applicable,mean absolute value,,not_encoded_in_source_manifest,magz_raw_abs_mean,False,True,False,True,"mean absolute value of the magnetic-field Z axis, after past-only within-day median centering."
magz_raw_abs_p95__causal_exp_1min,causal_derived,magnetometer,z,time,level_or_amplitude,not_applicable,95th percentile of absolute value,,not_encoded_in_source_manifest,magz_raw_abs_p95,False,True,False,True,"95th percentile of absolute value of the magnetic-field Z axis, after past-only within-day median centering."
