direction,source_vehicle,target_vehicle,sensor_config,method,protocol,budget_k_days,n_partitions,delta_accuracy_median,delta_accuracy_q1,delta_accuracy_q3,delta_balanced_accuracy_median,delta_balanced_accuracy_q1,delta_balanced_accuracy_q3,delta_macro_f1_median,delta_macro_f1_q1,delta_macro_f1_q3,delta_stationary_macro_f1_median,delta_stationary_macro_f1_q1,delta_stationary_macro_f1_q3,delta_stationary_macro_f1_median,delta_stationary_macro_f1_q1,delta_stationary_macro_f1_q3,delta_charging_f1_median,delta_charging_f1_q1,delta_charging_f1_q3,delta_charging_f1_median,delta_charging_f1_q1,delta_charging_f1_q3,delta_driving_f1_median,delta_driving_f1_q1,delta_driving_f1_q3,delta_driving_f1_median,delta_driving_f1_q1,delta_driving_f1_q3,delta_objective_score_median,delta_objective_score_q1,delta_objective_score_q3
BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,7,5,-0.0332213512504666,-0.0531847133757961,-0.0287000562746201,-0.036108844219972,-0.0416444960704291,-0.0083475024335856,-0.0497888286906819,-0.065412685533402,-0.0238045155324012,-0.0659109368673275,-0.0868448957012586,-0.0325839088777579,-0.0659109368673275,-0.0868448957012586,-0.0325839088777579,-0.0433992587726511,-0.0712400450668577,0.0110668589489254,-0.0433992587726511,-0.0712400450668577,0.0110668589489254,-0.001272579563719,-0.001518360002956,0.0027763107687696,-0.001272579563719,-0.001518360002956,0.0027763107687696,-0.038951353684095,-0.0713573436197257,-0.017322147404382
BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,14,5,-0.0412951167728237,-0.0471257932064203,-0.0385923155389323,-0.0095355089258272,-0.0262626987399036,0.0069315445216029,-0.0370962217663929,-0.0402416666265603,0.0052959613212532,-0.0397447457507531,-0.0506703594164528,0.0132868296769896,-0.0397447457507531,-0.0506703594164528,0.0132868296769896,-0.0121660788256272,-0.0148481369343461,-0.0080171040959148,-0.0121660788256272,-0.0148481369343461,-0.0080171040959148,-0.01807389667231,-0.020093054855372,-0.0174934409846816,-0.01807389667231,-0.020093054855372,-0.0174934409846816,-0.0162377845424757,-0.0234068793303593,-0.0160623579810458
BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,14,5,-0.0373673036093418,-0.0813736468831653,0.0197128993125758,-0.0230033689752476,-0.080364156875954,0.003872693476018,-0.0332812281609408,-0.0923088745974914,0.0205339880434208,-0.0359138209038575,-0.1195334302984109,0.0303851449252605,-0.0359138209038575,-0.1195334302984109,0.0303851449252605,-0.0534953538957581,-0.1872696627385255,0.0182274271865018,-0.0534953538957581,-0.1872696627385255,0.0182274271865018,-0.0112022155745864,-0.0167782799523536,-0.0102766029979718,-0.0112022155745864,-0.0167782799523536,-0.0102766029979718,-0.0413668784548677,-0.130293189853905,0.0196113637006532
BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,14,5,-0.0307634590133183,-0.0323779193205944,-0.0177304964539007,-0.0332354028148356,-0.0335335319258805,-0.0055989008857174,-0.0294823560638824,-0.04060499464818,-0.0257445121990345,-0.0406493460235711,-0.0543650995825724,-0.0342077736062952,-0.0406493460235711,-0.0543650995825724,-0.0342077736062952,-0.0117852866173353,-0.0765447504396252,0.0128283872765658,-0.0117852866173353,-0.0765447504396252,0.0128283872765658,-0.0003817157981408,-0.0017164889882044,0.0016060936156068,-0.0003817157981408,-0.0017164889882044,0.0016060936156068,-0.0248591915393342,-0.0549808969647581,-0.0155614341350549
BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,18,5,-0.0447928331466964,-0.0500844119302195,-0.0445859872611464,-0.0302451030909109,-0.032966970231832,0.0006203337603658,-0.0426646185363456,-0.044644678478819,-0.0300180712069755,-0.0478953110594499,-0.0531141575424169,-0.0369314059293675,-0.0478953110594499,-0.0531141575424169,-0.0369314059293675,-0.0024081878386513,-0.0219306564752141,0.0010058232065013,-0.0024081878386513,-0.0219306564752141,0.0010058232065013,-0.019236241288025,-0.0218973840588851,-0.0189993506505251,-0.019236241288025,-0.0218973840588851,-0.0189993506505251,-0.0263844778046908,-0.0265620462572679,-0.0085148291898305
BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,QUANTILE,FIVE_PARTITION_UNLABELED_BUDGET,18,5,-0.067515923566879,-0.070362075401269,-0.000202183582693,-0.0425803993050243,-0.0628809952808615,-0.0143292626625942,-0.0609578256851752,-0.0755207299815432,-0.0025285820954509,-0.0737909382019528,-0.0960013990967174,-0.000236793198437,-0.0737909382019528,-0.0960013990967174,-0.000236793198437,-0.1449730962634496,-0.1695027041287429,-0.0407318373915228,-0.1449730962634496,-0.1695027041287429,-0.0407318373915228,-0.0140787226360205,-0.0152291705124167,-0.0135258978830778,-0.0140787226360205,-0.0152291705124167,-0.0135258978830778,-0.1033016764943057,-0.1043757770626022,-0.0178098842138797
BUS_A_to_BUS_B,BUS_A,BUS_B,ACC,CORAL,FIVE_PARTITION_UNLABELED_BUDGET,18,5,-0.0444569499155881,-0.0543524416135882,-0.0238895110115714,-0.0415601333079573,-0.0478895545465821,-0.029727253646252,-0.0490305884707726,-0.0638771446064574,-0.0379224416965482,-0.0660664422927953,-0.0845628370620139,-0.0494628405250644,-0.0660664422927953,-0.0845628370620139,-0.0494628405250644,-0.0532595928787057,-0.1035087241533584,-0.0168305452579843,-0.0532595928787057,-0.1035087241533584,-0.0168305452579843,-0.0018200672397881,-0.0022061605549048,0.0008965675966379,-0.0018200672397881,-0.0022061605549048,0.0008965675966379,-0.0507221902339459,-0.0797297764252178,-0.0294856831211227
BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,RAW,FIVE_PARTITION_UNLABELED_BUDGET,0,5,0.1452229299363058,0.1442702500933184,0.1498180347755762,0.1421791817523989,0.1178378837820411,0.1498635007081941,0.1722174301282453,0.1513432893125267,0.1767656422345451,0.2352033398819951,0.2099618250817154,0.2397814077878603,0.2352033398819951,0.2099618250817154,0.2397814077878603,0.340075199408837,0.3327411673712014,0.3459657805670357,0.340075199408837,0.3327411673712014,0.3459657805670357,-0.0122816544254005,-0.0167402991330039,-0.0113621142981911,-0.0122816544254005,-0.0167402991330039,-0.0113621142981911,0.2444456975675413,0.2268360533510508,0.2491878831313031
BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,CAUSAL,FIVE_PARTITION_UNLABELED_BUDGET,0,5,-0.0927584919746173,-0.1314225053078557,-0.0770319450060654,-0.0797304688597477,-0.1072150260434584,-0.0496858953798959,-0.1163634274343127,-0.1491003510807705,-0.0850108255691792,-0.149934976943261,-0.19100263996809,-0.1073506583027883,-0.149934976943261,-0.19100263996809,-0.1073506583027883,-0.3241579538547942,-0.3277741588889789,-0.2224738982977698,-0.3241579538547942,-0.3277741588889789,-0.2224738982977698,-0.0179913273683519,-0.0212611453258572,-0.0156487789074679,-0.0179913273683519,-0.0212611453258572,-0.0156487789074679,-0.2009277200161791,-0.21912339219038,-0.1399960546606155
BUS_A_to_BUS_B,BUS_A,BUS_B,ACC_MAG,ZSCORE,FIVE_PARTITION_UNLABELED_BUDGET,1,5,-0.0580566497842806,-0.0891719745222929,-0.0340679336837849,-0.0594494162972331,-0.0866346735453996,-0.0318711894747918,-0.0737977375696412,-0.1122121763578964,-0.0642459331882061,-0.0949381682853197,-0.1410147838974309,-0.0820547035827387,-0.0949381682853197,-0.1410147838974309,-0.0820547035827387,-0.1799220521742967,-0.2402570602732642,-0.0923651079560983,-0.1799220521742967,-0.2402570602732642,-0.0923651079560983,-0.0147536503547735,-0.0156566674009993,-0.0114189953094364,-0.0147536503547735,-0.0156566674009993,-0.0114189953094364,-0.1306421869451627,-0.1544956147742608,-0.0658709768844667
