vehicle,sensor_configuration,method,protocol,n_folds,n_features,rows,operating_days,accuracy,balanced_accuracy,macro_f1,charging_f1,driving_f1,stationary_state_macro_f1,objective_score,stationary_off_precision,stationary_off_recall,stationary_off_f1,stationary_off_support,stationary_on_precision,stationary_on_recall,stationary_on_f1,stationary_on_support,charging_precision,charging_recall,charging_f1.1,charging_support,driving_precision,driving_recall,driving_f1.1,driving_support,macro_f1_bootstrap_center,macro_f1_ci_low,macro_f1_ci_high,charging_f1_bootstrap_center,charging_f1_ci_low,charging_f1_ci_high,delta_macro_f1,delta_macro_f1_ci_low,delta_macro_f1_ci_high,delta_charging_f1,delta_charging_f1_ci_low,delta_charging_f1_ci_high
Bus B,M,CORAL,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,41,13321,30,0.6606861346745739,0.5705781581087437,0.49516867114683,0.0012574662055957245,0.9608534490552392,0.33994041184402696,0.29760418917033626,0.37574850299401197,0.48596321393998065,0.4238075137188687,1033,0.4577961939840393,0.8486486486486486,0.5947562556076164,3515,0.10526315789473684,0.0006325110689437065,0.0012574662055957245,3162,0.9750458715596331,0.9470682587774015,0.9608534490552392,5611,0.49516867114683,0.4502730366462042,0.5407571660555034,0.0012574662055957247,0.0,0.0037238296994675877,-0.20780587335868722,-0.3315119525292553,-0.07505860625922342,-0.5586558599049135,-0.7762336484913678,-0.24156949734640906
Bus B,M,QUANTILE,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,41,13321,30,0.7139854365287891,0.6735089695841877,0.608903968691477,0.3810440221313447,0.9562205843175562,0.49313176348278387,0.5177599900674241,0.2721584984358707,0.7579864472410455,0.40051150895140664,1033,0.6717557251908397,0.726031294452347,0.6978397593656002,3515,0.7959798994974875,0.2504743833017078,0.3810440221313447,3162,0.9529203539823009,0.9595437533416503,0.9562205843175562,5611,0.608903968691477,0.49740100545569865,0.716593239172332,0.3810440221313447,0.053059546116033446,0.6148275379895071,-0.09407057581404021,-0.1651458728861696,-0.03665946076972785,-0.17886930397916456,-0.33270606767362904,-0.043196746008162916
Bus B,M,CAUSAL,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,41,13321,30,0.8474588994820209,0.8120813788656729,0.7798935239974178,0.7748014040273415,0.982177864908216,0.712465410360485,0.7778566760093872,0.4197212183789365,0.78702807357212,0.5474747474747474,1033,0.8143100511073254,0.8159317211948791,0.8151200795793662,3515,0.9315859617947578,0.6631878557874763,0.7748014040273415,3162,0.982177864908216,0.982177864908216,0.982177864908216,5611,0.7798935239974178,0.6685289307831502,0.880143097988367,0.7748014040273417,0.5496085304985219,0.9036508796124959,0.07691897949190063,0.02875632428260968,0.13172684233261267,0.2148880779168324,0.0916836810391017,0.39885445368359057
Bus B,G,RAW,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,42,13321,30,0.7678102244576233,0.7269490678044481,0.6856453296317787,0.4754134509371555,0.9930394431554525,0.5831806251238875,0.6015525781539295,0.4790560471976401,0.7860600193610843,0.5953079178885631,1033,0.5955345641906398,0.7891891891891892,0.678820506545944,3515,0.7851420247632921,0.34092346616065783,0.4754134509371555,3162,0.9944593386952636,0.9916235965068615,0.9930394431554525,5611,0.6856453296317788,0.5996871315086836,0.7663220819881229,0.4754134509371554,0.2366849379769806,0.6572856813029642,0.0,0.0,0.0,0.0,0.0,0.0
Bus B,G,ZSCORE,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,42,13321,30,0.6019067637564748,0.558126631288952,0.4819557634024976,0.21879815100154082,0.9772069464544139,0.3168720357185255,0.3766927184421148,0.18039499036608864,0.7250726040658277,0.28891031822565094,1033,0.48161764705882354,0.40995732574679944,0.44290763792838483,3515,0.5819672131147541,0.1347248576850095,0.21879815100154082,3162,0.9921028466483012,0.9627517376581715,0.9772069464544139,5611,0.4819557634024976,0.39353811698142543,0.5636457209947451,0.21879815100154085,0.001777418624442727,0.47130473623644836,-0.20368956622928125,-0.3362566402460726,-0.08086269863117107,-0.2566152999356146,-0.6230980821019373,0.1197364910535753
Bus B,G,CORAL,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,42,13321,30,0.649801065986037,0.5579090179458714,0.5034109387531019,0.14109799897383274,0.9852481001341081,0.3427985516260999,0.3584857628413942,0.24975320829220138,0.4898354307841239,0.3308270676691729,1033,0.4744232698094283,0.6728307254623044,0.5564705882352942,3515,0.3736413043478261,0.08697027197975965,0.14109799897383274,3162,0.9885181198421241,0.9819996435572982,0.9852481001341081,5611,0.5034109387531019,0.4364024756853425,0.5798030622365983,0.14109799897383274,0.0029449270896365802,0.34184663564147405,-0.18223439087867688,-0.27592801935204875,-0.09333680209633051,-0.3343154519633227,-0.5538774245119991,-0.1031430370654234
Bus B,G,QUANTILE,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,42,13321,30,0.73500487951355,0.7009991590879638,0.6715502918638488,0.4651355265880406,0.9571183533447685,0.5763609380368756,0.5889843857535255,0.5468856947296372,0.7734753146176185,0.640737770649559,1033,0.5435104806267204,0.730298719772404,0.6232095168730274,3515,0.6726511071214841,0.35547122074636306,0.4651355265880406,3162,0.9698133918770582,0.9447513812154696,0.9571183533447685,5611,0.6715502918638488,0.589873434403674,0.7412857337465616,0.46513552658804047,0.26427783223676926,0.6234886521040646,-0.014095037767929974,-0.08650399380253328,0.05641407205172485,-0.010277924349114953,-0.22955867927768023,0.22837720704945447
Bus B,G,CAUSAL,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,42,13321,30,0.8052698746340364,0.744909514651831,0.7316396136520535,0.6534914361001317,0.9928635147190009,0.644564979963071,0.7003803426312849,0.5033358042994811,0.6573088092933205,0.5701091519731318,1033,0.6506395073424918,0.7815078236130868,0.7100943518159494,3515,0.8070664807066481,0.5490196078431373,0.6534914361001317,3162,0.9939274870512591,0.9918018178577793,0.9928635147190009,5611,0.7316396136520535,0.6333606932401593,0.8197727527685625,0.6534914361001318,0.42655093895755347,0.8044371351365561,0.04599428402027472,-0.022739367141483873,0.12511657716629446,0.1780779851629764,0.0253591294650807,0.38381326501912716
Bus B,A+M,RAW,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,95,13321,30,0.886194730125366,0.860401734584167,0.8586238259173709,0.7791266533792354,0.9882666666666666,0.8154095456676056,0.8268249569021167,0.8234200743494424,0.8576960309777347,0.8402086296823139,1033,0.7554718757354671,0.9132290184921764,0.8268933539412674,3515,0.9121764955451845,0.6799493991144845,0.7791266533792354,3162,0.9858130874268487,0.9907324897522723,0.9882666666666666,5611,0.8586238259173709,0.7643241861295553,0.9303597339132227,0.7791266533792354,0.5525636003318277,0.9149785283320818,0.0,0.0,0.0,0.0,0.0,0.0
Bus B,A+M,ZSCORE,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,95,13321,30,0.7721642519330381,0.7360647497347166,0.6748274331348822,0.4925969447708578,0.9864382583868665,0.5709571580508874,0.6019352377892724,0.3110367892976589,0.8102613746369797,0.44951664876476904,1033,0.7291878172588833,0.8173541963015647,0.7707578806170355,3515,0.958828911253431,0.3314358001265022,0.4925969447708578,3162,0.9876719671252456,0.9852076278738193,0.9864382583868665,5611,0.6748274331348822,0.5605531894056969,0.7906352415455941,0.49259694477085775,0.2100446721576194,0.7213067029723964,-0.1837963927824886,-0.26108685944140936,-0.10154154609979316,-0.2865297086083776,-0.5029312452149447,-0.10901430306535081
Bus B,A+M,CORAL,IN_DOMAIN_GROUPED_CV_TEST_X_UNLABELED,5,95,13321,30,0.7675099467006982,0.6662115287642778,0.6553719915135897,0.5120469306515818,0.9861505681818182,0.5451124659575136,0.5980419671687865,0.3882657463330457,0.4356243949661181,0.41058394160583944,1033,0.6120865659452838,0.8529160739687055,0.7127065256151195,3515,0.7585350713842334,0.3864642631246047,0.5120469306515818,3162,0.9824871749513533,0.9898413829976831,0.9861505681818182,5611,0.6553719915135897,0.5549407193361163,0.7532056111433905,0.5120469306515818,0.2412342802767306,0.7088160167762819,-0.20325183440378114,-0.3310268464060411,-0.08027008015773361,-0.26707972272765357,-0.5562559200715619,-0.0362900301672832
