sensor_configuration,calibration_strategy,labeled_target_days,n_runs,n_test_partitions,target_exposure_hours_p25,target_exposure_hours_p50,target_exposure_hours_p75,accuracy_p25,accuracy_p50,accuracy_p75,balanced_accuracy_p25,balanced_accuracy_p50,balanced_accuracy_p75,macro_f1_p25,macro_f1_p50,macro_f1_p75,stationary_state_macro_f1_p25,stationary_state_macro_f1_p50,stationary_state_macro_f1_p75,charging_precision_p25,charging_precision_p50,charging_precision_p75,charging_recall_p25,charging_recall_p50,charging_recall_p75,charging_f1_p25,charging_f1_p50,charging_f1_p75,driving_f1_p25,driving_f1_p50,driving_f1_p75
A+M+G,vehicle_balanced,10,50,5,76.2234475,94.57234861111112,103.08071673611111,0.8659469568174091,0.8852991183203729,0.9096721614634832,0.8383839436872331,0.8571639386119375,0.8875137071657223,0.8265468457487801,0.8492185788502633,0.8754246565945967,0.7717951039069183,0.8015254606140181,0.8366931643789208,0.8238537608296482,0.8931756457422424,0.9621369691710904,0.6545338441890166,0.73290518225958,0.9127753303964756,0.7642697374681138,0.8169833003279277,0.8760549651818276,0.9907656335863262,0.9919863969125922,0.9934473968710172
A+M+G,vehicle_balanced,18,5,5,150.26141416666667,158.93063722222223,160.99430388888888,0.8865248226950354,0.9020741244474668,0.9175090982612212,0.8771216017183203,0.8858298078070581,0.8956244830927667,0.8598202787605235,0.8648077748701818,0.8807850608978416,0.8154360036974979,0.8221591587641072,0.842643171874006,0.8689655172413793,0.9318181818181818,0.9328512396694216,0.7254150702426565,0.7770925110132159,0.9576642335766424,0.8204651162790698,0.8371407516580692,0.8897731794667728,0.9927536231884058,0.9927856644170352,0.9929731039496
G,vehicle_balanced,0,5,5,0.0,0.0,0.0,0.6312171451678124,0.6438969764837627,0.6548489964359407,0.497203478066004,0.531839623873821,0.547757935042323,0.4529744808259975,0.487327577023426,0.5135018899903059,0.2738736069091408,0.3192326687121915,0.3537304893357334,0.15,0.3276595744680851,0.3997113997113997,0.0510948905109489,0.0667244367417677,0.199137311286844,0.0755531570426335,0.1108711303095752,0.2658349328214971,0.990277102576568,0.9903244166192372,0.9916123019571296
G,vehicle_balanced,1,50,5,11.813872430555552,13.584381944444448,16.86663888888889,0.6275778406793369,0.6504785515598384,0.6638998311761396,0.4982822824843962,0.53806708093393,0.5556567460891116,0.464871815946,0.4946544711760767,0.5327019915532005,0.2898010886368428,0.3290404052548916,0.3792930009459185,0.1940058281377067,0.3974665736475227,0.4884911470361817,0.0629562043795619,0.1452618358668183,0.2571057509826443,0.0923055020982206,0.2102821706340577,0.3379823079658606,0.9891414660237524,0.9904746508653416,0.991938262820136
G,vehicle_balanced,2,50,5,14.88865506944445,20.88329805555556,27.923190763888883,0.6368058266269935,0.658203021444203,0.6696648434167656,0.5231129560714496,0.5489246724202904,0.5712523669905959,0.4675887820840461,0.5071991215358549,0.5445311111943683,0.2933977682930637,0.3467384662355327,0.3955996304485681,0.2082219628806987,0.3891130079470886,0.5126413615891796,0.0608192387000467,0.1148461365317212,0.2883141762452107,0.0934011417249402,0.1700349530047686,0.3650797412591311,0.9887437063284732,0.9909700835669738,0.9918227863124346
G,vehicle_balanced,3,50,5,18.031372291666663,26.64440388888889,34.651666319444445,0.6343509906995551,0.6532723766903572,0.672528606265241,0.5198708401235548,0.55072379243817,0.5784602158025121,0.4705281452539579,0.5045552544609359,0.5433700621831347,0.2971928657256172,0.3422797271206798,0.3945951763253174,0.2442777380857876,0.4394647640916297,0.5638340204571548,0.0571012916039417,0.1571213798821411,0.2994891443167305,0.0894473344545703,0.2175439653397995,0.3864472583435537,0.9897612024370932,0.9909046943692544,0.9918528744702946
G,vehicle_balanced,5,50,5,36.727732152777776,45.67881375,57.16143305555556,0.6426048291527577,0.6758716516923384,0.7105202394637146,0.5576457212910726,0.5819823918543968,0.6227569535162332,0.497940880952063,0.5397421035871952,0.5959617796463796,0.3335399662028929,0.3901327240940202,0.4645142142587398,0.4153205557415466,0.5316163502438012,0.6195999366236236,0.0777288884846506,0.2349936143039591,0.4190116620521856,0.1229484823521956,0.3158935813942494,0.5044744949757615,0.9899541266104768,0.9910259329718356,0.9920320971337936
G,vehicle_balanced,10,50,5,76.2234475,94.57234861111112,103.08071673611111,0.6890950016999403,0.7138478430015951,0.7405225407902926,0.5985430669144406,0.6232544503517612,0.6515963881098985,0.5313083362287632,0.5996684727912871,0.6238617817993778,0.3787532931115868,0.4687008857934431,0.5011491062230724,0.5131822776280324,0.6447331557660057,0.722798739276176,0.1998149020385565,0.3731128684399712,0.4891443167305236,0.2967741317732221,0.4682577373430651,0.573148624509542,0.9907598780097948,0.9916778305525108,0.9925268065268064
G,vehicle_balanced,18,5,5,150.26141416666667,158.93063722222223,160.99430388888888,0.7378442706562394,0.7715565509518477,0.7972098665588354,0.6720928575358245,0.6940723653787972,0.7329284917022751,0.6405956315078096,0.6879712128940434,0.6943692376056047,0.52373061562034,0.5862780961440509,0.594515461583713,0.7053231939163498,0.7479861910241657,0.749379652605459,0.4672897196261682,0.4738186462324393,0.5233968804159446,0.5668449197860963,0.5752212389380531,0.6163265306122448,0.9909112095082732,0.9911906791702187,0.9930505631440212
M,vehicle_balanced,0,5,5,0.0,0.0,0.0,0.5218365061590146,0.5346088913899831,0.5551961180752123,0.4268462457081734,0.4274800794794658,0.435775283380811,0.3914743321932503,0.3949061934847303,0.3989930064632275,0.1990007499500224,0.2052866893521894,0.207441438113707,0.1123595505617977,0.1447368421052631,0.2835820895522388,0.0095320623916811,0.0096916299559471,0.0215672178289,0.0181668042939719,0.0187393526405451,0.0361881785283474,0.963764705882353,0.9654861267764494,0.968895078922934
